Date,Open,High,Low,Close,Adj Close,Volume
2014-11-07,660.000000,660.049988,637.000000,646.099976,622.209534,1491347
2014-11-10,646.150024,654.000000,643.000000,648.900024,624.905945,1507972
2014-11-11,648.250000,655.900024,644.500000,649.299988,625.291199,1412600
2014-11-12,649.000000,654.700012,642.000000,644.000000,620.187256,864869
2014-11-13,646.000000,651.000000,640.000000,644.799988,620.957642,1113887
2014-11-14,646.900024,674.400024,642.450012,672.200012,647.344421,5337199
2014-11-17,675.400024,694.950012,675.000000,691.950012,666.364136,2528265
2014-11-18,695.000000,703.599976,683.099976,700.900024,674.983215,1356980
2014-11-19,699.700012,700.599976,675.099976,683.099976,657.841370,1515771
2014-11-20,684.799988,693.500000,680.000000,690.549988,665.015869,647552
2014-11-21,691.799988,696.799988,685.000000,692.150024,666.556763,1211218
2014-11-24,693.799988,694.799988,680.700012,691.099976,665.545593,1103930
2014-11-25,688.950012,694.700012,682.349976,691.750000,666.171509,1054109
2014-11-26,693.900024,709.500000,692.099976,704.750000,678.690796,1470743
2014-11-27,709.400024,718.000000,702.799988,705.700012,679.605591,1821915
2014-11-28,716.099976,749.200012,715.599976,744.700012,717.163574,3400152
2014-12-01,753.950012,802.200012,753.099976,797.049988,767.577881,3291847
2014-12-02,796.799988,796.799988,767.200012,770.049988,741.576355,2476843
2014-12-03,774.799988,794.950012,773.000000,789.400024,760.210754,1711464
2014-12-04,791.950012,798.799988,777.950012,791.700012,762.425842,1376036
2014-12-05,794.900024,797.500000,781.750000,784.650024,755.636414,588459
2014-12-08,794.000000,809.599976,786.200012,793.500000,764.159241,1413437
2014-12-09,797.000000,801.299988,771.099976,781.799988,752.891785,1457128
2014-12-10,779.950012,779.950012,764.450012,775.650024,746.969238,1267394
2014-12-11,782.599976,790.450012,765.000000,769.500000,741.046570,1437194
2014-12-12,774.500000,785.349976,770.000000,774.299988,745.669067,1232250
2014-12-15,770.000000,777.599976,761.650024,767.250000,738.879822,784332
2014-12-16,765.000000,767.000000,752.000000,758.849976,730.790405,910901
2014-12-17,755.099976,761.650024,719.000000,731.299988,704.259094,2346032
2014-12-18,737.200012,748.799988,735.200012,744.950012,717.404419,1127699
2014-12-19,756.950012,759.650024,728.000000,733.000000,705.896301,1902149
2014-12-22,731.200012,747.700012,731.200012,745.549988,717.982178,1029222
2014-12-23,747.000000,751.000000,735.400024,739.250000,711.915161,669484
2014-12-24,740.099976,743.200012,725.150024,728.450012,701.514526,2337291
2014-12-26,732.000000,738.000000,722.000000,727.049988,700.166260,525701
2014-12-29,728.849976,759.299988,728.849976,757.549988,729.538452,865233
2014-12-30,761.000000,762.900024,745.000000,749.950012,722.219543,732669
2014-12-31,749.750000,757.950012,749.099976,752.299988,724.482666,648847
2015-01-01,751.099976,754.500000,747.000000,749.150024,721.449036,284935
2015-01-02,751.250000,781.450012,751.250000,775.049988,746.391357,2080850
2015-01-05,779.900024,787.900024,772.700012,775.000000,746.343323,1326999
2015-01-06,775.000000,783.000000,750.400024,756.500000,728.527344,1510720
2015-01-07,763.400024,778.349976,759.250000,771.700012,743.165283,1427667
2015-01-08,783.799988,822.900024,778.099976,820.349976,790.016357,2769416
2015-01-09,828.450012,829.000000,804.049988,812.500000,782.456665,1708427
2015-01-12,813.049988,818.400024,800.200012,807.750000,777.882324,1320557
2015-01-13,813.000000,842.450012,812.099976,833.849976,803.017151,3835281
2015-01-14,840.000000,850.000000,830.200012,842.650024,811.491821,2320114
2015-01-15,849.000000,850.000000,833.000000,839.349976,808.313782,1308063
2015-01-16,844.900024,859.000000,840.000000,843.450012,812.262268,1568660
2015-01-19,846.000000,848.000000,829.549988,831.900024,801.139343,1041563
2015-01-20,835.000000,847.000000,835.000000,839.200012,808.169312,1314139
2015-01-21,845.000000,855.900024,839.200012,851.299988,819.821838,1663391
2015-01-22,856.500000,881.650024,852.849976,867.150024,835.085938,1995155
2015-01-23,870.799988,879.950012,860.099976,862.099976,830.222595,1531430
2015-01-27,868.900024,892.799988,865.500000,890.500000,857.572510,1831293
2015-01-28,893.049988,921.000000,891.049988,910.250000,876.592224,2895714
2015-01-29,913.799988,922.500000,867.200012,881.299988,848.712646,5326269
2015-01-30,888.500000,888.500000,854.099976,857.750000,826.033386,3291034
2015-02-02,850.000000,851.099976,803.500000,808.099976,778.219360,4808585
2015-02-03,809.799988,826.500000,802.000000,814.700012,784.575256,3048559
2015-02-04,819.799988,823.200012,800.799988,803.849976,774.126587,912365
2015-02-05,812.000000,826.400024,808.000000,810.849976,780.867615,1668101
2015-02-06,810.000000,815.000000,788.799988,797.650024,768.155823,1668283
2015-02-09,790.000000,822.000000,783.400024,803.650024,773.933899,1910672
2015-02-10,801.900024,829.900024,799.849976,822.200012,791.797974,2235687
2015-02-11,830.000000,845.000000,828.000000,840.750000,809.661987,1227804
2015-02-12,847.000000,849.900024,819.349976,823.750000,793.290710,1974102
2015-02-13,824.349976,834.950012,815.049988,826.750000,796.179688,1323475
2015-02-16,834.000000,842.500000,818.000000,834.150024,803.306091,1584956
2015-02-18,839.099976,842.000000,819.700012,821.049988,790.690491,1448399
2015-02-19,826.000000,838.000000,826.000000,834.099976,803.257935,1216904
2015-02-20,834.250000,836.099976,823.200012,825.700012,795.168518,699111
2015-02-23,829.500000,833.000000,806.099976,809.599976,779.663940,1434240
2015-02-24,810.000000,813.500000,798.000000,799.549988,769.985352,1141027
2015-02-25,805.200012,816.000000,805.000000,813.849976,783.756653,1537365
2015-02-26,818.799988,819.900024,787.200012,791.900024,762.618347,1600594
2015-02-27,799.099976,809.099976,796.099976,807.150024,777.304443,1272026
2015-02-28,null,null,null,null,null,null
2015-03-02,823.799988,830.599976,806.000000,825.599976,795.072144,1383141
2015-03-03,829.849976,842.000000,827.200012,838.299988,807.302734,1617826
2015-03-04,844.500000,848.200012,832.400024,836.799988,805.858154,1600601
2015-03-05,837.000000,841.549988,828.000000,833.900024,803.065491,694150
2015-03-09,832.500000,832.500000,808.849976,812.650024,782.601135,626456
2015-03-10,813.000000,818.000000,802.000000,807.950012,778.074890,691298
2015-03-11,818.000000,819.950012,806.750000,809.000000,779.085999,942306
2015-03-12,814.799988,815.000000,805.200012,808.099976,778.219360,979686
2015-03-13,811.900024,818.700012,805.599976,808.400024,778.508301,837992
2015-03-16,813.000000,835.849976,809.000000,831.849976,801.091125,1287189
2015-03-17,839.349976,841.950012,823.000000,831.400024,800.657776,1384999
2015-03-18,835.849976,835.849976,810.000000,814.200012,784.093872,1172762
2015-03-19,824.000000,847.849976,821.700012,834.799988,803.932007,2037801
2015-03-20,836.000000,837.000000,805.599976,809.950012,780.000916,1245311
2015-03-23,816.000000,816.000000,805.500000,811.599976,781.589844,759196
2015-03-24,809.650024,819.500000,807.599976,813.299988,783.226990,755974
2015-03-25,813.799988,817.349976,802.500000,808.500000,778.604431,834390
2015-03-26,803.000000,815.900024,788.000000,793.099976,763.773987,1516627
2015-03-27,793.000000,793.000000,768.099976,778.150024,749.376892,1557785
2015-03-30,780.099976,809.750000,780.049988,807.450012,777.593262,847421
2015-03-31,807.900024,817.000000,802.049988,811.299988,781.301025,947718
2015-04-01,810.000000,825.900024,803.500000,821.700012,791.316589,898480
2015-04-06,829.000000,831.400024,819.000000,824.500000,794.013000,687263
2015-04-07,824.349976,838.799988,821.000000,835.200012,804.317383,769528
2015-04-08,841.000000,854.000000,840.000000,846.849976,815.536438,982733
2015-04-09,855.000000,856.000000,841.000000,853.150024,821.603516,1019655
2015-04-10,853.000000,861.700012,843.200012,859.450012,827.670654,802074
2015-04-13,860.000000,865.549988,852.400024,862.049988,830.174377,805167
2015-04-15,861.650024,863.000000,835.000000,839.049988,808.024902,1279621
2015-04-16,835.000000,836.849976,810.599976,822.250000,791.846069,1366075
2015-04-17,822.250000,829.599976,815.000000,816.799988,786.597534,685338
2015-04-20,818.000000,819.299988,800.000000,808.950012,779.037903,920198
2015-04-21,813.450012,816.900024,792.000000,796.500000,767.048218,652649
2015-04-22,800.000000,806.000000,769.200012,785.450012,756.406799,1779318
2015-04-23,793.099976,810.000000,785.000000,786.400024,757.321777,1275295
2015-04-24,792.500000,792.500000,765.049988,771.349976,742.828186,1123939
2015-04-27,775.000000,775.000000,740.549988,744.799988,717.259949,1625216
2015-04-28,741.950012,768.650024,730.000000,765.450012,737.146301,2052761
2015-04-29,763.099976,763.099976,750.000000,754.400024,726.505005,1445757
2015-04-30,749.299988,770.849976,747.200012,762.450012,734.257202,2260678
2015-05-04,769.849976,781.500000,764.000000,779.400024,750.580566,1071772
2015-05-05,780.000000,784.849976,768.650024,781.400024,752.506592,952716
2015-05-06,779.000000,779.000000,750.150024,760.849976,732.716431,1616619
2015-05-07,753.299988,773.450012,734.849976,765.750000,737.435364,1718402
2015-05-08,773.000000,774.400024,752.750000,759.400024,731.320129,1127201
2015-05-11,768.000000,776.200012,751.900024,771.650024,743.117126,976348
2015-05-12,772.799988,772.849976,754.000000,758.349976,730.308838,1137027
2015-05-13,759.049988,775.000000,759.000000,762.500000,734.305420,839420
2015-05-14,762.000000,803.000000,755.000000,796.450012,767.000122,1975784
2015-05-15,802.000000,818.000000,785.000000,790.299988,761.077515,1503598
2015-05-18,796.849976,818.000000,762.000000,766.750000,738.398132,6759860
2015-05-19,758.000000,779.299988,750.000000,774.750000,746.102478,3903935
2015-05-20,775.650024,777.950012,764.150024,771.200012,742.683777,1793967
2015-05-21,770.000000,779.799988,766.049988,777.200012,748.461914,1678041
2015-05-22,775.000000,779.799988,771.200012,775.400024,746.728455,1039136
2015-05-25,775.950012,778.750000,754.400024,761.900024,733.727600,1282826
2015-05-26,762.099976,769.000000,755.549988,763.500000,735.268433,906103
2015-05-27,762.000000,762.049988,754.400024,759.250000,731.175659,792609
2015-05-28,760.150024,771.000000,758.500000,767.349976,738.976135,1051538
2015-05-29,768.500000,795.000000,768.000000,787.049988,757.947693,2583950
2015-06-01,787.799988,794.700012,786.299988,789.750000,760.547729,713447
2015-06-02,789.099976,794.299988,756.000000,759.200012,731.127502,1014316
2015-06-03,763.000000,767.000000,750.000000,762.700012,734.498108,867736
2015-06-04,763.900024,766.000000,751.799988,759.599976,731.512695,820596
2015-06-05,759.000000,765.599976,752.000000,758.799988,730.742249,830300
2015-06-08,759.000000,760.000000,745.000000,748.000000,720.341614,795683
2015-06-09,744.799988,751.200012,730.000000,735.700012,708.496399,998511
2015-06-10,736.000000,745.099976,734.599976,739.150024,711.818909,803748
2015-06-11,739.200012,743.700012,702.500000,708.400024,682.205811,1453089
2015-06-12,709.000000,722.799988,702.000000,705.650024,679.557617,1168519
2015-06-15,714.750000,719.400024,696.400024,698.549988,672.720093,1244078
2015-06-16,700.950012,706.000000,693.000000,704.950012,678.883423,2765685
2015-06-17,708.000000,719.200012,705.000000,710.650024,684.372742,2215497
2015-06-18,718.950012,734.349976,718.950012,728.950012,701.996033,1908157
2015-06-19,733.799988,744.900024,729.750000,740.000000,712.637390,1783890
2015-06-22,744.650024,751.549988,732.500000,747.700012,720.052673,1350579
2015-06-23,750.000000,760.000000,741.650024,756.500000,728.527344,980083
2015-06-24,751.900024,759.799988,739.200012,753.650024,729.931641,2982650
2015-06-25,753.000000,759.799988,745.099976,750.200012,726.590271,1858338
2015-06-26,744.099976,754.900024,743.799988,750.250000,726.638733,764357
2015-06-29,743.000000,743.000000,727.500000,736.700012,713.515137,1100309
2015-06-30,737.000000,759.500000,737.000000,755.349976,731.578125,1348105
2015-07-01,757.450012,765.599976,755.099976,760.799988,736.856628,1025215
2015-07-02,763.099976,772.500000,761.099976,762.900024,738.890564,973819
2015-07-03,762.000000,778.400024,758.400024,772.700012,748.382080,1068877
2015-07-06,765.000000,786.150024,762.000000,783.549988,758.890747,652931
2015-07-07,793.000000,827.900024,790.049988,824.599976,798.648804,2464459
2015-07-08,819.799988,835.000000,797.349976,802.250000,777.002075,1933525
2015-07-09,810.000000,814.900024,795.000000,796.950012,771.869019,613555
2015-07-10,806.000000,806.000000,781.700012,795.299988,770.270935,1027281
2015-07-13,805.200012,821.200012,803.299988,817.650024,791.917542,1275702
2015-07-14,823.000000,827.799988,810.299988,822.700012,796.808594,780973
2015-07-15,826.500000,840.500000,823.250000,837.849976,811.481873,1095558
2015-07-16,853.000000,854.299988,843.299988,848.049988,821.360779,1169553
2015-07-17,851.799988,852.400024,823.750000,825.400024,799.423645,1089597
2015-07-20,830.000000,855.950012,827.250000,852.299988,825.477051,1437246
2015-07-21,853.000000,869.700012,811.099976,816.049988,790.367859,4611552
2015-07-22,820.000000,845.000000,820.000000,843.299988,816.760254,2035530
2015-07-23,846.000000,851.799988,836.099976,846.500000,819.859497,1188579
2015-07-24,852.000000,856.000000,845.000000,849.000000,822.280884,1132540
2015-07-27,847.000000,859.599976,836.000000,853.150024,826.300232,1153262
2015-07-28,857.000000,858.200012,825.000000,835.150024,808.866760,1009835
2015-07-29,834.400024,852.799988,826.250000,846.849976,820.198547,1010065
2015-07-30,848.000000,866.450012,847.500000,857.549988,830.561768,1318726
2015-07-31,864.500000,885.000000,855.150024,882.799988,855.017151,1842105
2015-08-03,880.000000,888.000000,875.000000,877.500000,849.883911,763822
2015-08-04,884.000000,908.849976,878.150024,905.700012,877.196472,2178289
2015-08-05,905.000000,926.799988,885.750000,923.299988,894.242615,2003128
2015-08-06,920.000000,924.500000,910.099976,916.099976,887.269165,923303
2015-08-07,911.000000,924.400024,895.200012,898.650024,870.368408,1416068
2015-08-10,903.500000,916.250000,895.400024,902.150024,873.758301,732357
2015-08-11,905.000000,906.950012,881.000000,883.400024,855.598328,1091087
2015-08-12,890.000000,895.500000,867.000000,871.349976,843.927490,721554
2015-08-13,872.150024,886.950012,862.349976,874.349976,846.833069,1251179
2015-08-14,880.000000,900.000000,879.549988,895.250000,867.075439,880842
2015-08-17,903.500000,907.250000,895.000000,900.049988,871.724304,577133
2015-08-18,906.950012,914.900024,891.900024,901.349976,872.983337,622790
2015-08-19,898.500000,902.599976,881.599976,899.750000,871.433716,618923
2015-08-20,905.000000,914.250000,879.549988,883.200012,855.404480,1404599
2015-08-21,875.000000,893.000000,864.000000,886.750000,858.842834,905933
2015-08-24,858.000000,877.200012,825.500000,837.500000,811.142761,1176140
2015-08-25,850.000000,866.000000,811.750000,852.150024,825.331848,1329631
2015-08-26,851.000000,868.099976,847.000000,851.900024,825.089661,1265081
2015-08-27,860.000000,865.000000,850.500000,855.000000,828.092041,1335712
2015-08-28,866.849976,874.099976,850.000000,858.250000,831.239807,1077558
2015-08-31,857.000000,862.750000,845.049988,848.599976,821.893494,1260477
2015-09-01,844.000000,844.099976,802.799988,819.099976,793.321960,1438466
2015-09-02,829.900024,830.000000,799.150024,806.000000,780.634216,1500676
2015-09-03,815.000000,833.000000,806.500000,826.599976,800.585876,887079
2015-09-04,824.000000,824.000000,792.000000,812.849976,787.268555,1101752
2015-09-07,815.000000,819.950012,785.049988,788.000000,763.200684,874378
2015-09-08,791.099976,800.000000,778.000000,791.500000,766.590515,1489813
2015-09-09,800.000000,822.900024,796.000000,821.150024,795.307373,1412900
2015-09-10,817.000000,817.000000,800.299988,807.950012,782.522827,887236
2015-09-11,815.000000,824.900024,810.549988,816.150024,790.464722,1034469
