Date,Open,High,Low,Close,Adj Close,Volume
2014-11-07,346.000000,347.850006,341.649994,344.549988,251.030487,3604629
2014-11-10,341.000000,353.549988,339.100006,349.100006,254.345505,4328207
2014-11-11,352.000000,352.450012,344.149994,345.600006,251.795486,4602542
2014-11-12,349.100006,349.600006,344.399994,345.899994,252.014069,2513692
2014-11-13,347.000000,348.799988,345.000000,347.100006,252.888351,1249146
2014-11-14,345.000000,358.299988,345.000000,356.299988,259.591217,3269054
2014-11-17,354.500000,356.500000,351.600006,354.100006,257.988373,1525940
2014-11-18,354.049988,359.200012,350.200012,352.600006,256.895538,2309766
2014-11-19,353.200012,354.899994,344.000000,347.049988,252.851929,2692674
2014-11-20,347.200012,352.799988,344.049988,346.750000,252.633377,3031965
2014-11-21,345.200012,348.000000,343.549988,346.899994,252.742645,2195792
2014-11-24,347.500000,349.899994,344.500000,347.299988,253.034088,3715247
2014-11-25,346.000000,349.799988,341.000000,348.049988,253.580475,2205505
2014-11-26,347.000000,351.899994,347.000000,349.549988,254.673355,1762676
2014-11-27,347.549988,351.399994,346.200012,349.149994,254.381927,2790178
2014-11-28,350.100006,357.700012,346.500000,355.000000,258.644073,2812968
2014-12-01,355.000000,355.299988,350.950012,353.799988,257.769836,3707445
2014-12-02,351.549988,358.200012,348.799988,355.750000,259.190521,1793479
2014-12-03,355.750000,359.500000,353.399994,357.100006,260.174103,2969992
2014-12-04,357.500000,358.000000,351.000000,355.850006,259.263367,1688563
2014-12-05,355.399994,359.500000,355.000000,356.549988,259.773376,1215587
2014-12-08,357.549988,367.950012,357.000000,364.600006,265.638397,4844333
2014-12-09,363.950012,364.500000,356.350006,360.950012,262.979156,3800573
2014-12-10,362.750000,364.500000,358.549988,360.049988,262.323364,2148878
2014-12-11,360.000000,365.200012,355.149994,363.700012,264.982697,2425895
2014-12-12,364.000000,368.799988,362.450012,364.350006,265.456268,3222397
2014-12-15,362.000000,378.850006,360.950012,377.049988,274.709137,2993299
2014-12-16,376.399994,380.899994,363.750000,366.750000,267.204865,4518753
2014-12-17,365.000000,371.950012,359.100006,367.250000,267.569122,2365837
2014-12-18,370.100006,370.950012,362.500000,367.549988,267.787720,3216002
2014-12-19,372.000000,379.549988,367.000000,376.000000,273.944153,3499013
2014-12-22,378.049988,391.899994,378.049988,390.350006,284.399231,3682646
2014-12-23,392.399994,393.350006,381.350006,383.649994,279.517792,2507930
2014-12-24,384.799988,389.799988,373.549988,376.850006,274.563446,5158783
2014-12-26,382.399994,382.399994,376.899994,378.350006,275.656342,1081330
2014-12-29,378.399994,388.450012,378.399994,386.899994,281.885620,1640127
2014-12-30,386.899994,388.500000,381.049988,382.549988,278.716370,1023792
2014-12-31,382.899994,389.000000,379.200012,383.850006,279.663483,1432057
2015-01-01,383.000000,383.450012,378.549988,380.049988,276.894867,540225
2015-01-02,380.500000,386.600006,379.950012,381.750000,278.133484,969551
2015-01-05,381.000000,386.000000,377.000000,380.250000,277.040619,1857013
2015-01-06,374.000000,382.100006,373.700012,379.950012,276.822083,4644316
2015-01-07,380.000000,384.450012,372.549988,374.700012,272.997040,2628276
2015-01-08,384.700012,385.000000,377.299988,379.450012,276.457764,1779075
2015-01-09,382.000000,383.000000,372.899994,375.049988,273.252014,1442177
2015-01-12,374.899994,374.899994,356.000000,357.850006,260.720551,3794388
2015-01-13,358.500000,362.399994,358.049988,361.200012,263.161285,1654914
2015-01-14,363.899994,364.899994,360.299988,363.200012,264.618439,1186130
2015-01-15,368.000000,371.750000,362.100006,368.450012,268.443420,2278050
2015-01-16,367.250000,380.600006,364.399994,379.049988,276.166321,2086327
2015-01-19,379.000000,383.899994,374.100006,379.200012,276.275604,1720402
2015-01-20,384.649994,384.649994,378.899994,382.299988,278.534210,1371798
2015-01-21,382.600006,393.500000,381.049988,391.850006,285.492065,2579948
2015-01-22,394.600006,397.600006,391.049988,396.399994,288.807098,1632779
2015-01-23,398.000000,400.000000,390.600006,394.700012,287.568512,1892706
2015-01-27,391.899994,394.700012,379.000000,382.649994,278.789185,2619631
2015-01-28,382.399994,388.700012,380.500000,383.799988,279.627075,2589117
2015-01-29,365.000000,379.700012,364.200012,374.950012,273.179199,11218814
2015-01-30,362.000000,364.200012,360.049988,360.850006,262.906281,14790368
2015-02-02,354.250000,357.000000,350.149994,355.100006,258.716949,25950717
2015-02-03,355.049988,359.950012,353.600006,356.649994,259.846252,7690620
2015-02-04,357.200012,368.799988,357.100006,366.049988,266.694824,15177656
2015-02-05,366.399994,374.950012,366.250000,369.899994,269.499847,9382752
2015-02-06,369.000000,370.250000,359.100006,364.000000,265.201233,3576894
2015-02-09,360.950012,362.399994,358.000000,360.649994,262.760559,2498414
2015-02-10,358.049988,369.000000,358.049988,368.149994,268.224854,5296191
2015-02-11,369.000000,376.899994,369.000000,372.100006,271.102753,27184800
2015-02-12,372.350006,374.700012,365.000000,368.750000,268.662018,4759855
2015-02-13,363.299988,379.899994,363.000000,377.850006,275.292053,16984215
2015-02-16,377.649994,383.850006,375.100006,377.049988,274.709137,4307836
2015-02-18,377.600006,384.700012,377.100006,380.350006,277.113495,5508230
2015-02-19,380.450012,390.000000,375.850006,383.950012,279.736359,6011878
2015-02-20,381.600006,385.000000,377.299988,382.750000,278.862061,5970211
2015-02-23,384.850006,386.799988,382.200012,384.200012,279.918488,4701758
2015-02-24,387.000000,390.250000,382.799988,384.200012,279.918488,4510109
2015-02-25,387.799988,389.799988,383.850006,386.600006,281.667023,3296025
2015-02-26,385.549988,386.950012,378.500000,384.350006,280.027802,10641810
2015-02-27,386.399994,398.000000,384.950012,395.250000,287.969238,24773100
2015-02-28,null,null,null,null,null,null
2015-03-02,394.799988,398.200012,386.100006,394.750000,287.604919,8425861
2015-03-03,373.500000,382.000000,373.000000,379.649994,291.910767,5328335
2015-03-04,382.000000,382.000000,370.000000,371.549988,285.682739,4497793
2015-03-05,372.000000,375.200012,362.000000,363.950012,279.839111,4971903
2015-03-09,361.899994,369.149994,356.100006,357.299988,274.725983,4555473
2015-03-10,359.000000,371.799988,358.149994,370.700012,285.029175,4533632
2015-03-11,369.000000,370.700012,366.000000,369.299988,283.952667,3136497
2015-03-12,369.850006,372.250000,363.000000,364.700012,280.415802,2979075
2015-03-13,366.950012,369.500000,363.500000,365.100006,280.723328,2770431
2015-03-16,367.000000,367.000000,361.049988,364.399994,280.185120,2446877
2015-03-17,368.000000,368.399994,359.649994,361.799988,278.185974,2003857
2015-03-18,362.200012,365.750000,361.049988,364.549988,280.300476,1296884
2015-03-19,366.500000,369.500000,363.000000,365.350006,280.915588,2412424
2015-03-20,365.950012,371.000000,363.600006,368.250000,283.145386,2118984
2015-03-23,368.000000,370.350006,363.100006,369.000000,283.722015,2544068
2015-03-24,367.549988,373.000000,366.549988,370.049988,284.529388,1960112
2015-03-25,371.399994,371.399994,360.100006,361.799988,278.185974,1851588
2015-03-26,358.850006,360.000000,350.000000,352.299988,270.881470,3834991
2015-03-27,353.149994,354.450012,346.399994,348.000000,267.575256,2344094
2015-03-30,350.950012,359.950012,346.649994,359.299988,276.263733,2451097
2015-03-31,360.000000,365.950012,359.549988,362.899994,279.031769,3477225
2015-04-01,362.899994,364.250000,358.000000,363.000000,279.108643,1428949
2015-04-06,364.049988,364.600006,358.700012,360.750000,277.378662,1248881
2015-04-07,360.750000,362.399994,356.399994,359.600006,276.494415,1859700
2015-04-08,365.250000,382.700012,365.100006,380.350006,292.448975,6874570
2015-04-09,383.350006,389.399994,378.899994,386.950012,297.523682,3309241
2015-04-10,383.950012,390.200012,383.899994,389.000000,299.099915,3579563
2015-04-13,389.399994,395.700012,383.799988,392.350006,301.675720,2909461
