Date,Open,High,Low,Close,Adj Close,Volume
2014-11-07,142.100006,145.500000,142.100006,144.899994,128.649536,2524865
2014-11-10,145.000000,149.399994,142.750000,148.100006,131.490692,5824159
2014-11-11,149.000000,150.899994,146.899994,147.649994,131.091156,4703801
2014-11-12,146.949997,147.600006,142.050003,142.949997,126.918266,3548949
2014-11-13,143.949997,145.350006,143.000000,144.649994,128.427597,6171336
2014-11-14,143.850006,145.899994,143.000000,144.100006,127.939285,3444234
2014-11-17,144.399994,147.050003,143.699997,146.750000,130.292099,2769723
2014-11-18,146.949997,149.800003,146.000000,148.350006,131.712662,3642427
2014-11-19,148.750000,150.000000,145.250000,146.649994,130.203293,3055492
2014-11-20,146.199997,147.000000,144.250000,146.149994,129.759354,2019682
2014-11-21,145.449997,147.000000,145.449997,146.550003,130.114517,3051463
2014-11-24,144.800003,145.500000,141.199997,142.449997,126.474335,3731227
2014-11-25,141.000000,141.000000,135.850006,139.100006,123.500046,31243342
2014-11-26,138.500000,140.500000,138.050003,139.149994,123.544411,3229871
2014-11-27,139.350006,142.300003,139.350006,140.750000,124.965004,2521224
2014-11-28,140.899994,143.600006,139.449997,142.699997,126.696289,2598432
2014-12-01,141.949997,142.899994,137.800003,138.350006,122.834152,1393395
2014-12-02,138.000000,139.199997,137.750000,138.050003,122.567764,1322385
2014-12-03,138.000000,139.050003,136.899994,137.199997,121.813095,4847491
2014-12-04,137.100006,137.699997,135.699997,136.500000,121.191612,2540536
2014-12-05,136.300003,138.199997,136.000000,136.750000,121.413574,3206282
2014-12-08,136.750000,138.300003,135.449997,135.850006,120.614502,1733162
2014-12-09,135.399994,136.850006,134.600006,134.949997,119.815430,2709825
2014-12-10,134.600006,137.800003,134.300003,137.250000,121.857498,2089358
2014-12-11,137.899994,138.000000,134.750000,135.949997,120.703308,1812647
2014-12-12,136.100006,136.350006,133.550003,134.800003,119.682274,2707135
2014-12-15,133.750000,135.199997,132.949997,134.449997,119.371529,1570483
2014-12-16,133.550003,134.850006,132.149994,133.050003,118.128532,2706277
2014-12-17,132.600006,134.350006,129.600006,131.000000,116.308426,3802717
2014-12-18,132.050003,133.350006,129.550003,131.600006,116.841156,3234628
2014-12-19,132.649994,136.149994,130.500000,135.800003,120.570107,2725413
2014-12-22,135.899994,137.250000,134.750000,136.850006,121.502388,2119167
2014-12-23,136.800003,139.750000,136.449997,139.050003,123.455643,3737261
2014-12-24,138.949997,138.949997,134.100006,136.300003,121.014046,4902706
2014-12-26,138.500000,139.750000,136.500000,137.100006,121.724335,1299518
2014-12-29,138.000000,139.250000,136.699997,137.000000,121.635551,799636
2014-12-30,138.000000,138.500000,137.250000,137.649994,122.212646,1207162
2014-12-31,138.300003,140.149994,137.449997,138.000000,122.523376,2227809
2015-01-01,138.000000,138.199997,136.899994,137.100006,121.724335,438096
2015-01-02,137.149994,139.350006,137.149994,138.750000,123.189270,2032228
2015-01-05,138.500000,140.100006,136.149994,138.899994,123.322433,4101387
2015-01-06,138.050003,138.300003,134.149994,135.800003,120.570107,4662543
2015-01-07,135.000000,138.500000,133.500000,137.750000,122.301422,1831602
2015-01-08,138.000000,138.899994,136.250000,138.350006,122.834152,1370588
2015-01-09,138.300003,139.500000,136.949997,138.449997,122.922920,1169800
2015-01-12,137.600006,139.199997,135.500000,136.500000,121.191612,2059299
2015-01-13,136.550003,137.800003,135.250000,135.850006,120.614502,1603524
2015-01-14,135.800003,136.899994,134.800003,136.050003,120.792091,2215696
2015-01-15,136.500000,143.699997,136.500000,142.949997,126.918266,3614292
2015-01-16,142.800003,148.949997,140.800003,147.350006,130.824799,4625155
2015-01-19,147.149994,148.899994,144.399994,147.850006,131.268738,2859021
2015-01-20,149.000000,150.000000,146.800003,147.399994,130.869171,3456624
2015-01-21,147.300003,148.050003,146.050003,146.899994,130.425247,1611670
2015-01-22,147.100006,151.399994,146.649994,148.350006,131.712662,3946926
2015-01-23,148.800003,150.000000,147.199997,149.550003,132.778046,2559074
2015-01-27,148.250000,151.000000,147.199997,149.949997,133.133179,3402034
2015-01-28,150.449997,151.699997,149.000000,149.449997,132.689270,3065063
2015-01-29,149.850006,149.949997,147.600006,148.800003,132.112198,3894592
2015-01-30,148.500000,150.500000,146.000000,148.000000,131.401917,1740457
2015-02-02,147.250000,148.699997,146.000000,147.850006,131.268738,1365302
2015-02-03,148.899994,149.399994,146.500000,147.199997,130.691620,742508
2015-02-04,147.500000,149.250000,145.899994,146.250000,129.848160,979216
2015-02-05,146.250000,146.899994,142.699997,143.649994,127.539764,1380048
2015-02-06,142.399994,145.000000,141.600006,143.449997,127.362183,1362844
2015-02-09,143.000000,143.449997,140.000000,141.449997,125.586487,1412491
2015-02-10,140.199997,146.199997,140.000000,145.100006,128.827164,2240223
2015-02-11,146.000000,148.850006,145.000000,145.750000,129.404236,3189759
2015-02-12,148.800003,152.000000,146.050003,150.250000,133.399567,4374474
2015-02-13,151.750000,152.699997,149.350006,151.500000,134.509384,4651941
2015-02-16,152.000000,154.399994,152.000000,152.750000,135.619186,2131697
2015-02-18,152.100006,155.000000,151.250000,154.750000,137.394897,2269487
2015-02-19,154.800003,155.050003,151.149994,154.300003,136.995377,1523263
2015-02-20,153.899994,154.800003,152.300003,153.250000,136.063126,2579747
2015-02-23,153.000000,157.500000,152.500000,155.899994,138.415909,3294901
2015-02-24,155.899994,157.699997,155.550003,156.750000,139.170593,2129631
2015-02-25,157.600006,157.750000,152.600006,154.550003,137.217316,2161415
2015-02-26,154.100006,156.449997,150.800003,152.750000,135.619186,4144558
2015-02-27,152.949997,157.500000,152.100006,157.100006,139.481323,2739474
2015-02-28,null,null,null,null,null,null
2015-03-02,157.750000,159.000000,155.399994,156.699997,139.126205,1849634
2015-03-03,156.199997,156.399994,154.149994,155.550003,138.105148,2122523
2015-03-04,156.149994,157.350006,153.100006,154.449997,137.128525,2771744
2015-03-05,154.000000,156.149994,151.600006,155.149994,137.750000,1412981
2015-03-09,153.300003,154.350006,149.699997,150.250000,133.995468,1633619
2015-03-10,150.250000,150.350006,146.699997,148.500000,132.434799,2253986
2015-03-11,149.399994,150.000000,147.449997,147.899994,131.899704,1884585
2015-03-12,148.050003,152.399994,148.050003,149.649994,133.460388,2269314
2015-03-13,150.250000,150.399994,146.000000,146.600006,130.740356,2105637
2015-03-16,145.550003,147.699997,145.550003,146.750000,130.874115,869967
2015-03-17,147.100006,149.000000,146.050003,147.649994,131.676773,2412133
2015-03-18,147.500000,148.250000,145.899994,146.649994,130.784927,1965066
2015-03-19,146.649994,149.250000,145.000000,146.100006,130.294449,1485925
2015-03-20,146.000000,149.850006,144.600006,148.199997,132.167236,2117068
2015-03-23,149.500000,151.899994,148.550003,149.199997,133.059082,2390266
2015-03-24,149.000000,150.850006,147.500000,147.949997,131.944305,2908638
2015-03-25,147.750000,148.550003,146.199997,146.500000,130.651154,3379593
2015-03-26,146.899994,149.500000,144.050003,145.100006,129.402634,6664849
2015-03-27,145.100006,145.949997,143.199997,144.750000,129.090500,1957037
2015-03-30,145.050003,145.600006,143.600006,145.000000,129.313446,2452222
2015-03-31,145.500000,146.449997,144.500000,145.250000,129.536407,2698848
2015-04-01,145.100006,146.850006,145.100006,146.449997,130.606552,1579544
2015-04-06,146.399994,149.449997,145.850006,147.949997,131.944305,2989940
2015-04-07,147.199997,148.199997,146.000000,147.949997,131.944305,1382076
2015-04-08,147.550003,149.800003,147.000000,147.300003,131.364624,2255085
2015-04-09,147.550003,151.600006,147.399994,151.000000,134.664337,1362527
2015-04-10,151.500000,153.050003,150.300003,152.699997,136.180435,1237584
2015-04-13,152.800003,155.699997,150.750000,154.350006,137.651932,1242378
2015-04-15,154.949997,156.000000,151.000000,151.550003,135.154831,1311084
2015-04-16,151.149994,152.250000,147.500000,150.699997,134.396820,1401807
2015-04-17,150.699997,151.600006,149.100006,150.100006,133.861725,2062579
2015-04-20,150.199997,152.600006,148.649994,149.800003,133.594162,1281928
2015-04-21,150.000000,152.000000,148.100006,148.850006,132.746948,1301002
2015-04-22,149.000000,149.550003,146.600006,147.050003,131.141647,2727927
2015-04-23,148.000000,148.949997,145.899994,146.649994,130.784927,1977262
2015-04-24,146.000000,147.949997,144.050003,145.850006,130.071487,1470070
2015-04-27,146.100006,147.750000,144.500000,144.949997,129.268829,1154448
2015-04-28,144.300003,146.500000,143.500000,144.449997,128.822937,1929106
2015-04-29,144.350006,144.800003,142.500000,143.050003,127.574387,1159860
2015-04-30,142.100006,144.800003,140.399994,142.199997,126.816360,2306201
2015-05-04,143.000000,144.600006,141.000000,144.149994,128.555389,2054279
2015-05-05,143.050003,146.649994,141.550003,143.149994,127.663597,4499537
2015-05-06,142.750000,142.750000,140.050003,140.600006,125.389465,3392764
2015-05-07,140.000000,141.050003,138.050003,140.300003,125.121902,3064541
2015-05-08,141.000000,142.199997,139.699997,140.000000,124.854362,1680247
2015-05-11,140.750000,143.350006,139.800003,143.000000,127.529793,2209463
2015-05-12,142.899994,143.050003,138.600006,139.300003,124.230072,2560402
2015-05-13,139.500000,141.500000,138.050003,140.850006,125.612419,2305058
2015-05-14,140.800003,140.800003,138.250000,139.399994,124.319260,1950569
2015-05-15,140.199997,141.699997,139.300003,140.050003,124.898964,3546636
2015-05-18,139.500000,140.949997,138.750000,140.050003,124.898964,8419389
2015-05-19,140.000000,143.899994,138.100006,138.750000,123.739571,3709872
2015-05-20,139.100006,141.399994,139.050003,140.800003,125.567795,2907264
2015-05-21,140.500000,140.949997,138.699997,139.500000,124.408440,1478701
2015-05-22,139.300003,141.949997,137.399994,140.949997,125.701576,3026627
2015-05-25,141.750000,143.399994,141.050003,143.100006,127.618988,3125865
2015-05-26,143.399994,143.600006,141.550003,143.050003,127.574387,1249015
2015-05-27,143.050003,143.600006,141.800003,143.199997,127.708191,639714
2015-05-28,144.250000,144.250000,140.550003,143.199997,127.708191,2164797
2015-05-29,142.500000,144.449997,141.250000,143.699997,128.154099,1953884
2015-06-01,146.649994,146.899994,142.250000,143.100006,127.618988,8896408
2015-06-02,142.500000,142.899994,141.350006,142.500000,127.083893,2607559
2015-06-03,142.149994,143.750000,140.750000,143.199997,127.708191,3391462
2015-06-04,143.000000,145.149994,142.399994,144.350006,128.733734,4818652
