username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-12-09 15:28;0;0;"Check out how Hexaware streamlined the invoicing process for a leading European Telecommunication Operator by suggesting a SMS mechanism that helped in drastically improving the response rate from the customers. Subscribe to http://bit.ly/2t03quU # CVA # BUDpic.twitter.com/bXIgMo0YGn";;;# #;"1203999890797473793";https://twitter.com/HexawareGlobal/status/1203999890797473793
;2019-12-06 17:35;2;5;"Read the 1st segment of our # CloudStrategy blog from Cloudify Everything series to know why a strategic view on Cloud is obligatory. Stay tuned for next week’s segment. http://bit.ly/366HvAr # CloudStrategies # CloudifyEverything # digitaltransformationpic.twitter.com/8cty397bVc";;;# # # #;"1202944682944131073";https://twitter.com/HexawareGlobal/status/1202944682944131073
;2019-12-06 17:31;0;3;"Read the 1st segment of our # CloudStrategy blog from Cloudify Everything series to know why a strategic view on Cloud is obligatory. Stay tuned for next week’s segment. http://bit.ly/366HvAr # CloudStrategies # CloudifyEverything # digitaltransformationpic.twitter.com/g1WNINe4Nq";;;# # # #;"1202943568656191488";https://twitter.com/HexawareGlobal/status/1202943568656191488
;2019-12-04 16:32;1;0;"Hexaware helps you progress seamlessly to newer horizons post # Libor # transition with its customized, scalable and intelligent # automation and # RPA solutions. Know more http://bit.ly/35Znr2T pic.twitter.com/uxVVk6H14x";;;# # # #;"1202203901262467077";https://twitter.com/HexawareGlobal/status/1202203901262467077
;2019-12-03 16:31;0;0;"Watch how we helped our client, a leading # healthcare data provider, reduce time to view user’s access with the help of Easy Security Viewer in Smart Essbase. Subscribe to http://bit.ly/2rMdTcS # CVA # BUDpic.twitter.com/N6iQQqdccS";;;# # #;"1201841404588068864";https://twitter.com/HexawareGlobal/status/1201841404588068864
;2019-11-28 13:23;1;1;"Wishing you a happy and gratitude-filled # Thanksgiving with all your family and friends! # ValueTheLegacypic.twitter.com/gvsn6vFvHk";;;# #;"1199982098993569792";https://twitter.com/HexawareGlobal/status/1199982098993569792
;2019-11-27 11:30;3;8;"We did it yet again! # TeamHexaware secures 1st place at Automation Anywhere’s Bot Games, 2019. Read more about their win: http://bit.ly/37H8mER # BuildThePassion # Automation # Innovationpic.twitter.com/krdd4EaKoD";;;# # # #;"1199591234639056896";https://twitter.com/HexawareGlobal/status/1199591234639056896
;2019-11-27 09:20;1;1;"A well-planned # MuleSoftMeetup with live demo of test-driven approach using MUnit. Let’s have many more like this!pic.twitter.com/7WTo1WJf0Y";;;#;"1199558555097030656";https://twitter.com/HexawareGlobal/status/1199558555097030656
;2019-11-25 16:00;0;1;"Reduce time and efforts of your data warehouse transformation on Microsoft Azure Cloud by over 60% with Hexaware’s Cloud Enterprise Data Management and Analytics Platform (CEDMA). Know more: http://bit.ly/2XI8LSI # BusinessIntelligence # Analytics # AutomateEverythingpic.twitter.com/iYFsDji2Zm";;;# # #;"1198934454389084164";https://twitter.com/HexawareGlobal/status/1198934454389084164
;2019-11-22 18:10;0;1;"Know more about the Process Mining and Prioritization on our exclusive Executive Roundtable- Mine.Prioritize.Transform hosted by UiPath and Hexaware. Register Now http://bit.ly/2QGZvwM pic.twitter.com/xQ6m9NmAOg";;;;"1197880147535388679";https://twitter.com/HexawareGlobal/status/1197880147535388679
;2019-11-22 10:59;0;0;"How to grow business with @ MuleSoft - based iPaaS platform? Detailed insights by industry experts at # MuleSoftMeetup Hexaware, Pune on Nov 23rd. # MuleDeveloper # APIpic.twitter.com/YiCSbSyL4k";;@;# # #;"1197771517834092544";https://twitter.com/HexawareGlobal/status/1197771517834092544
;2019-11-21 16:53;0;2;"Move Your Business to Cloud. Learn more about achieving efficiency through S/4HANA-led business modernization. Register here http://bit.ly/2rcIEHD pic.twitter.com/VuvgRzTSaF";;;;"1197498156012822529";https://twitter.com/HexawareGlobal/status/1197498156012822529
;2019-11-21 15:14;0;6;"We have crossed 200,000 followers on LinkedIn, and we are absolutely delighted. A big thank you to all those who have liked, shared and commented on our posts. It is your incredible support that keeps us going for the higher and the better!pic.twitter.com/logWCBZBOM";;;;"1197473458030034946";https://twitter.com/HexawareGlobal/status/1197473458030034946
