username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-12-12 09:46;1;1;"Listen to our views on How # AI + # UX is a potent cocktail. And how # UserExperience can help to manage AI expectations by @ ghate @ kochidesignweek # uxdesign # design # celebratedesign # celebratekochi # largestfestival # designforhumans # designforgood # Kerala https://www.kochidesignweek.org/speakers/?fbclid=IwAR2x-LwxIARXypyaxlngAuiyA16_oDuTqnLS0zC-HpFBr99etiEiAYjHUkY# …pic.twitter.com/Aul9yKWzSj";;@ @;# # # # # # # # # # # #;"1205000916035723267";https://twitter.com/tataelxsi/status/1205000916035723267
;2019-12-10 15:48;3;5;"Meet us @ CES and know more about our services for # connected # autonomous # intelligent # CES2020 # CESpic.twitter.com/ayVLi9a4PD";;@;# # # # #;"1204367315715776512";https://twitter.com/tataelxsi/status/1204367315715776512
;2019-11-16 17:30;8;5;"Walk-In # interviews # Philadelphia # USA Calling all # Software # engineers We are # Hiring !!! Get selected for your next role right away!!! # embedded # C # devicedriverprogramming # LINUX # python # RDK # javascript # NewJersey # Connecticut # NewYorkCity # Pennsylvania # findyournextjobpic.twitter.com/0pXFFEQ6zx";;;# # # # # # # # # # # # # # # # # #;"1195695532150312961";https://twitter.com/tataelxsi/status/1195695532150312961
;2019-11-15 18:30;2;1;"Walk-In # interviews # Philadelphia # USA Calling all # Software # engineers We are # Hiring !!! Get selected for your next role right away!!! # embedded # C # devicedriverprogramming # LINUX # python # RDK # javascript # NewJersey # Connecticut # NewYorkCity # Pennsylvania # findyournextjobpic.twitter.com/WSMSv68H4W";;;# # # # # # # # # # # # # # # # # #;"1195348249000984578";https://twitter.com/tataelxsi/status/1195348249000984578
;2019-11-14 18:30;2;1;"Walk-In # interviews # Philadelphia # USA Calling all # Software # engineers We are # Hiring !!! Get selected for your next role right away!!! # embedded # C # devicedriverprogramming # LINUX # python # RDK # javascript # NewJersey # Connecticut # NewYorkCity # Pennsylvania # findyournextjobpic.twitter.com/cl3p4w3Bo3";;;# # # # # # # # # # # # # # # # # #;"1194985854336409601";https://twitter.com/tataelxsi/status/1194985854336409601
;2019-11-13 17:30;1;3;"Walk-In # interviews # Philadelphia # USA Calling all # Software # engineers We are # Hiring !!! Get selected for your next role right away!!! # embedded # C # devicedriverprogramming # LINUX # python # RDK # javascript # NewJersey # Connecticut # NewYorkCity # Pennsylvania # findyournextjobpic.twitter.com/ZscaaIFCaw";;;# # # # # # # # # # # # # # # # # #;"1194608369883123712";https://twitter.com/tataelxsi/status/1194608369883123712
;2019-11-12 10:29;6;2;"Walk-In # interviews # Philadelphia # USA Calling all # Software # engineers We are # Hiring !!! Get selected for your next role right away!!! # embedded # C # devicedriverprogramming # LINUX # python # RDK # javascript # NewJersey # Connecticut # NewYorkCity # Pennsylvania # findyournextjobpic.twitter.com/lvfxUsF2Gu";;;# # # # # # # # # # # # # # # # # #;"1194140119587930112";https://twitter.com/tataelxsi/status/1194140119587930112
;2019-11-11 16:30;3;7;"We are Hiring! # embedded # cprogramming # linux # python # walkindrive # electricalengineers # programmers # softwareengineers # connecticut # newyork # newyorkcity # newjersey # philadelphia # pennsylvania # walkinspic.twitter.com/s0swzb8FSc";;;# # # # # # # # # # # # # # #;"1193868489519501315";https://twitter.com/tataelxsi/status/1193868489519501315
;2019-11-07 11:38;11;8;"We are Hiring! # embedded # cprogramming # linux # python # walkindrive # electricalengineers # programmers # softwareengineers # connecticut # newyork # newyorkcity # newjersey # philadelphia # pennsylvania # walkinspic.twitter.com/gvKxp4J2TI";;;# # # # # # # # # # # # # # #;"1192345548495282176";https://twitter.com/tataelxsi/status/1192345548495282176
;2019-10-31 14:01;0;0;"The Role of SDN in Network Transformation https://www.enterpriseitworld.com/news/the-role-of-sdn-in-network-transformation/ …";;;;"1189844933462519808";https://twitter.com/tataelxsi/status/1189844933462519808
